common_name,scientific_name,plant_family,plant_type,climate_zones,growing_difficulty,space_required,sunlight_needs,water_needs,days_to_germination_min,days_to_germination_max,days_to_harvest_min,days_to_harvest_max,perennial_annual,planting_months_sh,planting_months_nh,height_cm_min,height_cm_max,spread_cm_min,spread_cm_max,native_region,description,transplant_friendly,typical_seedling_age_days,direct_sow_only,seedling_difficulty,transplant_notes
Pea,Pisum sativum,Fabaceae,Vegetable,"Cfb,Csa,Csb",Easy,Small,Full sun,Regular,7,14,50,70,Annual,Mar-May,Mar-May,60,150,20,30,Mediterranean,Nitrogen-fixing legume with edible pods and peas,false,21,true,Hard,Direct sow - sensitive roots do not transplant well
Bean,Phaseolus vulgaris,Fabaceae,Vegetable,"Cfa,Cfb,Csa",Easy,Medium,Full sun,Regular,7,10,50,60,Annual,Sep-Dec,Apr-Jun,40,60,30,40,Americas,Bush beans - nitrogen-fixing legume with edible pods,false,14,true,Hard,Direct sow - beans do not transplant well
Beans,Phaseolus vulgaris,Fabaceae,Vegetable,"Cfa,Cfb,Csa",Easy,Medium,Full sun,Regular,7,10,50,70,Annual,Sep-Dec,Apr-Jun,40,200,30,40,Americas,All bean varieties - bush and pole types,false,14,true,Hard,Direct sow - legumes sensitive to root disturbance
Marigold,Tagetes spp.,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,5,7,50,70,Annual,Sep-Mar,Apr-Jul,20,90,20,45,Mexico,All marigold varieties - French and African types for pest control,true,21,false,Easy,Transplants easily; start indoors or direct sow
Marigold (French),Tagetes patula,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,5,7,50,70,Annual,Sep-Mar,Apr-Jul,20,40,20,30,Mexico,Compact French marigold; excellent nematode control and pest deterrent,true,21,false,Easy,Very transplant friendly; commonly started indoors
Marigold (African),Tagetes erecta,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Moderate,5,7,60,80,Annual,Sep-Mar,Apr-Jul,60,90,30,45,Mexico,Tall African marigold with large blooms; soil nematode control,true,21,false,Easy,Transplants well; large flowers attract pollinators
Calendula,Calendula officinalis,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,7,14,50,60,Annual,Feb-Oct,Mar-Oct,30,60,30,40,Mediterranean,Pot marigold; medicinal herb with edible flowers; attracts beneficials,true,21,false,Easy,Transplants easily; self-seeds readily
Nasturtium,Tropaeolum majus,Tropaeolaceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun to part shade,Low,7,12,40,60,Annual,Sep-Mar,Apr-Jul,30,300,30,90,South America,Edible flowers and leaves; excellent trap crop for aphids and caterpillars,true,21,false,Easy,Transplants well when young; often direct sown
Borage,Borago officinalis,Boraginaceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Moderate,7,14,50,70,Annual,Sep-Mar,Apr-Jul,45,90,30,60,Mediterranean,Blue edible flowers; bee magnet; dynamic accumulator; cucumber-flavored,true,28,false,Easy,Transplants when young; self-seeds vigorously
Cosmos,Cosmos bipinnatus,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Low,7,10,60,90,Annual,Sep-Mar,Apr-Jun,60,150,30,45,Mexico,Airy flowers attract beneficial insects; low maintenance; excellent pollinator plant,true,21,false,Easy,Transplants easily; direct sow also works well
Zinnia,Zinnia elegans,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,5,7,60,90,Annual,Sep-Mar,May-Jul,30,90,20,40,Mexico,Bright flowers attract bees and butterflies; excellent cut flower,true,21,false,Easy,Transplants well; fast growing and prolific
Sunflower,Helianthus annuus,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Large,Full sun,Moderate,7,10,80,120,Annual,Sep-Dec,Apr-Jun,150,300,30,60,North America,Large blooms attract pollinators; edible seeds; living trellis for beans,false,14,true,Moderate,Sensitive to transplanting; best direct sown
Yarrow,Achillea millefolium,Asteraceae,Flower,"Cfb,Csa,Csb,Csb",Easy,Small,Full sun,Low,10,21,365,730,Perennial,Sep-Mar,Mar-Sep,30,90,30,60,Northern Hemisphere,Medicinal herb; attracts predatory wasps and beneficial insects; dynamic accumulator,true,42,false,Easy,Perennial; transplants well; spreads via rhizomes
Lavender,Lavandula angustifolia,Lamiaceae,Herb,"Cfa,Cfb,Csa,Csb",Moderate,Medium,Full sun,Low,14,28,730,1095,Perennial,Sep-Mar,Apr-Jun,40,90,40,90,Mediterranean,Aromatic herb; pest deterrent; attracts pollinators; drought tolerant,true,56,false,Moderate,Start from cuttings or seedlings; very slow from seed
Chamomile,Matricaria chamomilla,Asteraceae,Herb,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun to part shade,Moderate,7,14,60,90,Annual,Sep-Mar,Apr-Jun,20,60,20,30,Europe,Medicinal herb with apple-scented flowers; attracts beneficial insects,true,28,false,Easy,Transplants when small; often self-seeds
Comfrey,Symphytum officinale,Boraginaceae,Herb,"Cfa,Cfb,Csa,Csb",Easy,Large,Full sun to part shade,Moderate,7,21,365,730,Perennial,Sep-Mar,Mar-Sep,60,120,60,90,Europe,Dynamic accumulator; deep roots mine nutrients; fertilizer tea; medicinal,true,42,false,Easy,Perennial; use Bocking 14 cultivar to prevent spreading
White Clover,Trifolium repens,Fabaceae,Ground Cover,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun to part shade,Moderate,5,10,365,365,Perennial,Sep-May,Mar-Sep,10,20,30,60,Europe,Nitrogen-fixing ground cover; living mulch for orchards; attracts pollinators,false,14,true,Easy,Direct sow; spreads via stolons; excellent living mulch
Alfalfa,Medicago sativa,Fabaceae,Ground Cover,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Moderate,5,10,365,730,Perennial,Sep-Mar,Mar-Sep,30,90,30,60,Southwest Asia,Deep-rooted nitrogen fixer; improves soil; cover crop and forage,false,14,true,Easy,Direct sow; deep taproot mines nutrients
Vetch,Vicia sativa,Fabaceae,Ground Cover,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Moderate,7,14,60,90,Annual,Mar-Oct,Mar-Sep,30,120,30,60,Europe,Nitrogen-fixing cover crop; improves soil; prevent from going to seed,false,14,true,Easy,Direct sow; excellent green manure crop
Daffodil,Narcissus spp.,Amaryllidaceae,Flower,"Cfb,Csa,Csb",Easy,Small,Full sun to part shade,Moderate,14,21,120,180,Perennial,Feb-Apr,Sep-Nov,20,50,10,15,Europe,Spring bulb; toxic to rodents; early pollinator source; fruit tree protector,false,0,true,Easy,Plant bulbs in autumn; perennial; toxic to voles
Bee Balm,Monarda didyma,Lamiaceae,Herb,"Cfa,Cfb,Csa",Easy,Medium,Full sun to part shade,Regular,10,15,365,730,Perennial,Sep-Mar,Mar-Sep,60,120,45,90,North America,Aromatic herb; hummingbird and bee magnet; medicinal; edible flowers,true,42,false,Easy,Perennial; spreads via rhizomes; transplants well
Alyssum,Lobularia maritima,Brassicaceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,7,10,50,70,Annual,Sep-Mar,Apr-Jul,10,30,20,30,Mediterranean,Low-growing flowers attract hoverflies; sweet fragrance; excellent edging,true,21,false,Easy,Transplants easily; self-seeds readily
Squash,Cucurbita spp.,Cucurbitaceae,Vegetable,"Cfa,Cfb,Csa",Moderate,Large,Full sun,Regular,5,10,50,90,Annual,Oct-Dec,May-Jun,30,60,90,300,Americas,All squash varieties - summer and winter types; sprawling vines,true,21,false,Moderate,Handle roots carefully; sensitive to disturbance
Pepper,Capsicum annuum,Solanaceae,Vegetable,"Cfa,Cfb,Csa",Moderate,Medium,Full sun,Regular,7,14,60,90,Annual,Sep-Nov,Apr-May,40,100,40,60,Americas,Bell peppers and sweet varieties; warm-season crop,true,56,false,Moderate,Start indoors; sensitive to cold; long season
Rose,Rosa spp.,Rosaceae,Flower,"Cfa,Cfb,Csa,Csb",Moderate,Medium,Full sun,Regular,14,28,365,730,Perennial,Jun-Aug,Mar-May,90,200,60,120,Northern Hemisphere,Ornamental flowering shrub; benefits from companion planting,true,0,false,Moderate,Usually propagated from cuttings not seed
Artichoke,Cynara cardunculus,Asteraceae,Vegetable,"Cfa,Cfb,Csa,Csb",Moderate,Large,Full sun,Regular,10,21,365,540,Perennial,Sep-Nov,Mar-Apr,120,200,90,120,Mediterranean,Perennial vegetable with edible flower buds; architectural plant,true,42,false,Moderate,Large seedlings; needs space; harvest buds before flowering
Beet,Beta vulgaris,Amaranthaceae,Vegetable,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Regular,5,10,50,70,Annual,Feb-Oct,Mar-Sep,20,40,10,15,Mediterranean,Root vegetable with edible leaves; grows in cool weather,false,21,true,Hard,Direct sow preferred; taproots sensitive to transplanting
Cilantro,Coriandrum sativum,Apiaceae,Herb,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Regular,7,10,40,50,Annual,Feb-Oct,Mar-Sep,30,60,15,30,Mediterranean,Also called coriander; edible leaves and seeds; attracts beneficials,true,21,false,Easy,Transplants when young; bolts in heat
Citrus,Citrus spp.,Rutaceae,Fruit,"Cfa,Csa",Moderate,Large,Full sun,Regular,14,30,730,1825,Perennial,Sep-Mar,Apr-May,200,600,200,400,Southeast Asia,All citrus varieties - oranges limes lemons; subtropical fruit trees,true,0,false,Moderate,Usually grafted; not grown from seed commercially
Pawpaw,Asimina triloba,Annonaceae,Fruit,"Cfa,Cfb",Moderate,Large,Part shade to full sun,Moderate,30,60,1095,1825,Perennial,Sep-Nov,Mar-Apr,300,800,200,400,Eastern North America,Native fruit tree; custard-like tropical fruit; shade tolerant understory,true,0,false,Easy,Transplant when dormant; deep taproot